occurrence_name,full_path_name,component_name,mesh_file,status,origin_x_cm,origin_y_cm,origin_z_cm,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
arm_plate_v2:1,arm_plate_v2:1,arm_plate_v2,arm_plate_v2_1.stl,exported,-7.5,-4.13,0.0,1.0,0.0,0.0,-7.5,0.0,1.0,0.0,-4.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:1+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_1_DUMMY_DC12_1.stl,exported,0.015000000000039038,-0.005000000000026539,2.1999999999999784,-0.9999999999999747,5.967448757360611e-16,-2.0488415870939166e-15,0.015000000000039038,-3.306024024631534e-29,-0.9999999999999827,1.1196382932960546e-14,-0.005000000000026539,-2.9524993561124705e-15,-1.5777218104420012e-30,0.9999999999999882,2.1999999999999784,0.0,0.0,0.0,1.0
"XM,H-430_idler:1","XM,H-430_idler:1","XM,H-430_idler",XM_H-430_idler_1.stl,exported,0.0,0.0,21.000000000000004,-1.0000000000000009,-1.6653345369377348e-16,0.0,0.0,1.6653345369377348e-16,-1.0000000000000009,0.0,0.0,0.0,0.0,1.0,21.000000000000004,0.0,0.0,0.0,1.0
arm_thrustA:1,arm_thrustA:1,arm_thrustA,arm_thrustA_1.stl,exported,5.437815095537413e-32,8.782713667980585e-34,5.500000000000001,-1.00000000000001,-1.1796119636642288e-16,-6.122435509492987e-17,5.437815095537413e-32,-1.214306433183765e-16,1.0000000000000095,-9.888456500604781e-19,8.782713667980585e-34,6.12243550949303e-17,-9.888456500603348e-19,-1.0000000000000142,5.500000000000001,0.0,0.0,0.0,1.0
fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported,1.173101532713107e-15,3.1545915592650023e-16,7.450000000000027,-1.0000000000000087,-1.249000902703301e-16,-4.08083248778869e-16,1.173101532713107e-15,-1.249000902703301e-16,1.0000000000000095,-6.591026476176798e-18,3.1545915592650023e-16,4.080832487788718e-16,-6.591026476176602e-18,-1.0000000000000129,7.450000000000027,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:2+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_2_DUMMY_DC12_1.stl,exported,-1.2113704940069414e-15,7.14149758056711e-16,9.550000000000058,-1.3183898417423734e-16,4.080832487788651e-16,1.0000000000000102,-1.2113704940069414e-15,1.00000000000001,6.782336643354509e-17,1.1796119636642288e-16,7.14149758056711e-16,-6.782336643354614e-17,1.000000000000014,-4.080832487788723e-16,9.550000000000058,0.0,0.0,0.0,1.0
"XM,H-430_idler:2","XM,H-430_idler:2","XM,H-430_idler",XM_H-430_idler_2.stl,exported,2.6327553821857217,-4.761636344066059,6.311343426740556,-1.887379141862766e-15,-4.052314039881822e-15,1.0000000000000004,2.6327553821857217,1.0000000000000002,2.220446049250294e-16,1.8735013540549517e-15,-4.761636344066059,-2.220446049250382e-16,1.0000000000000002,4.052314039881818e-15,6.311343426740556,0.0,0.0,0.0,1.0
fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported,9.969804794012979e-15,1.3042952135000618e-15,9.545000000000062,1.0000000000000044,3.971329036758465e-16,1.6961796492630644e-16,9.969804794012979e-15,1.1796119636642288e-16,-2.942091015256665e-15,-0.999999999999996,1.3042952135000618e-15,-4.0808324877886987e-16,1.0000000000000204,1.6653345369377348e-16,9.545000000000062,0.0,0.0,0.0,1.0
arm_thrustB:1,arm_thrustB:1,arm_thrustB,arm_thrustB_1.stl,exported,3.730349362740526e-14,8.881784197001252e-16,28.269999999999996,1.0,2.220446049250313e-16,-9.353628982466939e-15,3.730349362740526e-14,2.2204460492501395e-16,-0.9999999999999996,-1.817990202823676e-15,8.881784197001252e-16,-9.353628982466944e-15,1.817990202823674e-15,-0.9999999999999996,28.269999999999996,0.0,0.0,0.0,1.0
fr12_s102_k:2,fr12_s102_k:2,fr12_s102_k,fr12_s102_k_2.stl,exported,5.595524044110789e-14,7.105427357601002e-15,30.219999999999995,1.0,2.220446049250329e-16,-9.353628982466955e-15,5.595524044110789e-14,2.2204460492501395e-16,-1.000000000000001,-1.8179902028236796e-15,7.105427357601002e-15,-9.353628982466944e-15,1.8179902028236777e-15,-1.000000000000001,30.219999999999995,0.0,0.0,0.0,1.0
DC11_B01_CASE_M_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_1_DC11_B01_CASE_M_DUMMY_1.stl,exported,1.817804833928038e-15,-8.215650382226158e-15,32.320000000000455,4.773040336690582e-16,4.0834968149949385e-16,1.0000000000000022,1.817804833928038e-15,1.0000000000000007,2.4702462297909733e-15,-5.586504819700876e-16,-8.215650382226158e-15,-2.4702462297909733e-15,1.0000000000000016,-4.084005986513297e-16,32.320000000000455,0.0,0.0,0.0,1.0
DC11_B01_CASE_F_DUMMY:1,XC-430_idle:1+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_1_DC11_B01_CASE_F_DUMMY_1.stl,exported,4.44089209850063e-16,-7.549516567451064e-15,32.32000000000046,4.772084968344716e-16,4.083675977494893e-16,1.0000000000000024,4.44089209850063e-16,1.000000000000001,2.4980018054066022e-15,-5.62020483207485e-16,-7.549516567451064e-15,-2.4980018054066022e-15,1.0000000000000016,-4.0857299685255893e-16,32.32000000000046,0.0,0.0,0.0,1.0
DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:1+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_1_DC11_B01_CASE_B_DUMMY2_1.stl,exported,2.295012179895687e-15,-5.551115123125783e-15,32.32000000000046,4.772937824514086e-16,4.0835160393474016e-16,1.0000000000000024,2.295012179895687e-15,1.0000000000000004,2.4980018054066022e-15,-5.655762260640626e-16,-5.551115123125783e-15,-2.4702462297909733e-15,1.000000000000001,-4.08305339024027e-16,32.32000000000046,0.0,0.0,0.0,1.0
M_DC11_A01_IDLER:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER:1,M_DC11_A01_IDLER,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_1.stl,exported,-3.6615849397476383,-8.216504444926503,17.387196207361548,1.2073675392798577e-14,-1.0000000000000022,-8.171485002276726e-14,-3.6615849397476383,1.2246467991481667e-16,8.171485002276712e-14,-1.0000000000000013,-8.216504444926503,1.0000000000000007,1.2156942119645466e-14,1.2246467991580958e-16,17.387196207361548,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:1,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_1.stl,exported,-3.6615849397475726,-7.416504444926502,17.387196207361544,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.6615849397475726,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-7.416504444926502,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,17.387196207361544,0.0,0.0,0.0,1.0
M_DC11_A01_IDLER_CAP:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER_CAP:1,M_DC11_A01_IDLER_CAP,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_CAP_1.stl,exported,-3.641584939747638,-8.216504444926505,17.387196207361544,1.2073675392798577e-14,1.0000000000000022,8.171485002276726e-14,-3.641584939747638,1.2246467991481667e-16,-8.171485002276712e-14,1.0000000000000013,-8.216504444926505,1.0000000000000007,-1.2156942119645466e-14,-1.2246467991580958e-16,17.387196207361544,0.0,0.0,0.0,1.0
DC11_A01_IDLER_SCREW:1,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported,-3.2715849397476373,-8.216504444926535,17.38719620736154,1.2073675392798577e-14,-1.0000000000000022,-8.171485002276726e-14,-3.2715849397476373,1.2246467991481667e-16,8.171485002276712e-14,-1.0000000000000013,-8.216504444926535,1.0000000000000007,1.2156942119645466e-14,1.2246467991580958e-16,17.38719620736154,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:2,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:2,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_2.stl,exported,-3.6615849397476286,-8.216504444926503,18.187196207361545,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.6615849397476286,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-8.216504444926503,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,18.187196207361545,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:3,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:3,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_3.stl,exported,-3.661584939747703,-9.016504444926504,17.387196207361548,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.661584939747703,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-9.016504444926504,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,17.387196207361548,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:4,XC-430_idle:1+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:4,DC11_A01_HORN_INSERT_1,XC-430_idle_1_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_4.stl,exported,-3.661584939747648,-8.216504444926503,16.587196207361547,-1.2073675392798577e-14,1.0000000000000022,-8.171485002276726e-14,-3.661584939747648,-1.2246467991481667e-16,-8.171485002276712e-14,-1.0000000000000013,-8.216504444926503,-1.0000000000000007,-1.2156942119645466e-14,1.2246467991580958e-16,16.587196207361547,0.0,0.0,0.0,1.0
M_DC11_A01_HORN:1,XC-430_idle:1+M_DC11_A01_HORN_ASM:1+M_DC11_A01_HORN:1,M_DC11_A01_HORN,XC-430_idle_1_M_DC11_A01_HORN_ASM_1_M_DC11_A01_HORN_1.stl,exported,1.5500000000000043,-1.7763568394002505e-14,32.320000000000455,4.083437035625052e-16,1.0000000000000024,4.772334700950639e-16,1.5500000000000043,2.525757381022231e-15,-5.620500433304441e-16,1.0000000000000009,-1.7763568394002505e-14,1.0000000000000013,-4.0856745337233877e-16,-2.525757381022231e-15,32.320000000000455,0.0,0.0,0.0,1.0
M_DC11_A01_HORN_ASM:1,XC-430_idle:1+M_DC11_A01_HORN_ASM:1,M_DC11_A01_HORN_ASM,XC-430_idle_1_M_DC11_A01_HORN_ASM_1.stl,exported,-0.21158493974763015,-8.216504444926784,17.387196207361505,-8.171485002276726e-14,1.0000000000000022,1.2073675392798577e-14,-0.21158493974763015,-1.0000000000000013,-8.171485002276712e-14,1.2246467991481667e-16,-8.216504444926784,1.2246467991580958e-16,-1.2156942119645466e-14,1.0000000000000007,17.387196207361505,0.0,0.0,0.0,1.0
XC-430_idle:1,XC-430_idle:1,XC-430_idle,XC-430_idle_1.stl,exported,-1.7615849397476337,-8.216504444926658,17.387196207361523,1.2073675392798577e-14,-8.171485002276726e-14,1.0000000000000022,-1.7615849397476337,1.2246467991481667e-16,-1.0000000000000013,-8.171485002276712e-14,-8.216504444926658,1.0000000000000007,1.2246467991580958e-16,-1.2156942119645466e-14,17.387196207361523,0.0,0.0,0.0,1.0
arm_hand_v2:1,arm_hand_v2:1,arm_hand_v2,arm_hand_v2_1.stl,exported,-2.049999999999992,-1.200000000000001,35.12000000000048,0.9999999999999991,-3.6863843333985933e-16,4.0926590834403565e-16,-2.049999999999992,-6.811429691816158e-16,0.9999999999999981,2.4702462297909733e-15,-1.200000000000001,-1.9076308811834653e-16,-2.3592239273284576e-15,1.0000000000000002,35.12000000000048,0.0,0.0,0.0,1.0
fr12_h101_k:3,fr12_h101_k:3,fr12_h101_k,fr12_h101_k_3.stl,exported,2.886579864025407e-15,-1.5987211554602254e-14,32.320000000000455,-1.0000000000000009,4.0926590834403595e-16,5.571255105420694e-16,2.886579864025407e-15,5.586782892668822e-16,2.4424906541753444e-15,1.0000000000000004,-1.5987211554602254e-14,4.091997664376304e-16,1.0000000000000009,-2.4424906541753444e-15,32.320000000000455,0.0,0.0,0.0,1.0
DC11_B01_CASE_M_DUMMY:1,XC-430_idle:2+DC11_B01_CASE_M_DUMMY:1,DC11_B01_CASE_M_DUMMY,XC-430_idle_2_DC11_B01_CASE_M_DUMMY_1.stl,exported,-1.1102230246251565e-16,1.2073675392798577e-15,37.52000000000049,7.414162472163847e-16,-1.000000000000001,4.0838194640008344e-16,-1.1102230246251565e-16,0.9999999999999992,7.423753091389851e-16,2.4980018054066022e-15,1.2073675392798577e-15,-2.4702462297909733e-15,3.532132180051388e-16,1.0000000000000007,37.52000000000049,0.0,0.0,0.0,1.0
DC11_B01_CASE_F_DUMMY:1,XC-430_idle:2+DC11_B01_CASE_F_DUMMY:1,DC11_B01_CASE_F_DUMMY,XC-430_idle_2_DC11_B01_CASE_F_DUMMY_1.stl,exported,-1.0410095592367534e-16,-1.0810796702287553e-15,37.52000000000049,7.4603727023486e-16,-1.0000000000000016,4.081924542632698e-16,-1.0410095592367534e-16,0.9999999999999996,7.423753091389856e-16,2.4702462297909733e-15,-1.0810796702287553e-15,-2.4147350785597155e-15,3.53213218005139e-16,1.0000000000000013,37.52000000000049,0.0,0.0,0.0,1.0
DC11_B01_CASE_B_DUMMY2:1,XC-430_idle:2+DC11_B01_CASE_B_DUMMY2:1,DC11_B01_CASE_B_DUMMY2,XC-430_idle_2_DC11_B01_CASE_B_DUMMY2_1.stl,exported,-1.3357370765021423e-15,8.881784197001252e-16,37.52000000000049,7.310129626218684e-16,-1.0000000000000013,4.092659083440361e-16,-1.3357370765021423e-15,0.9999999999999998,7.423753091389853e-16,2.4702462297909733e-15,8.881784197001252e-16,-2.4147350785597155e-15,3.53213218005139e-16,1.000000000000001,37.52000000000049,0.0,0.0,0.0,1.0
M_DC11_A01_IDLER:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER:1,M_DC11_A01_IDLER,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_1.stl,exported,-9.423841892655357,-9.891444545411293,8.381480415717064,2.220446049247448e-16,2.231548279496565e-14,-1.000000000000001,-9.423841892655357,-1.3572476476042548e-14,1.0000000000000009,2.2370993946196907e-14,-9.891444545411293,0.9999999999999998,1.3572476476042531e-14,2.2204460492504704e-16,8.381480415717064,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:1,DC11_A01_HORN_INSERT_1,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_1.stl,exported,-8.623841892655356,-9.89144454541131,8.381480415717062,-2.220446049247448e-16,-2.231548279496565e-14,-1.000000000000001,-8.623841892655356,1.3572476476042548e-14,-1.0000000000000009,2.2370993946196907e-14,-9.89144454541131,-0.9999999999999998,-1.3572476476042531e-14,2.2204460492504704e-16,8.381480415717062,0.0,0.0,0.0,1.0
M_DC11_A01_IDLER_CAP:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+M_DC11_A01_IDLER_CAP:1,M_DC11_A01_IDLER_CAP,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_M_DC11_A01_IDLER_CAP_1.stl,exported,-9.423841892655357,-9.911444545411292,8.381480415717062,2.220446049247448e-16,-2.231548279496565e-14,1.000000000000001,-9.423841892655357,-1.3572476476042548e-14,-1.0000000000000009,-2.2370993946196907e-14,-9.911444545411292,0.9999999999999998,-1.3572476476042531e-14,-2.2204460492504704e-16,8.381480415717062,0.0,0.0,0.0,1.0
DC11_A01_IDLER_SCREW:1,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_IDLER_SCREW:1,DC11_A01_IDLER_SCREW,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_IDLER_SCREW_1.stl,exported,-9.423841892655366,-10.281444545411293,8.381480415717059,2.220446049247448e-16,2.231548279496565e-14,-1.000000000000001,-9.423841892655366,-1.3572476476042548e-14,1.0000000000000009,2.2370993946196907e-14,-10.281444545411293,0.9999999999999998,1.3572476476042531e-14,2.2204460492504704e-16,8.381480415717059,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:2,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:2,DC11_A01_HORN_INSERT_1,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_2.stl,exported,-9.423841892655357,-9.891444545411304,9.181480415717063,-2.220446049247448e-16,-2.231548279496565e-14,-1.000000000000001,-9.423841892655357,1.3572476476042548e-14,-1.0000000000000009,2.2370993946196907e-14,-9.891444545411304,-0.9999999999999998,-1.3572476476042531e-14,2.2204460492504704e-16,9.181480415717063,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:3,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:3,DC11_A01_HORN_INSERT_1,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_3.stl,exported,-10.223841892655358,-9.891444545411275,8.381480415717064,-2.220446049247448e-16,-2.231548279496565e-14,-1.000000000000001,-10.223841892655358,1.3572476476042548e-14,-1.0000000000000009,2.2370993946196907e-14,-9.891444545411275,-0.9999999999999998,-1.3572476476042531e-14,2.2204460492504704e-16,8.381480415717064,0.0,0.0,0.0,1.0
DC11_A01_HORN_INSERT_1:4,XC-430_idle:2+M_DC11_A01_IDLER_ASM:1+DC11_A01_HORN_INSERT_1:4,DC11_A01_HORN_INSERT_1,XC-430_idle_2_M_DC11_A01_IDLER_ASM_1_DC11_A01_HORN_INSERT_1_4.stl,exported,-9.423841892655357,-9.891444545411282,7.581480415717063,-2.220446049247448e-16,-2.231548279496565e-14,-1.000000000000001,-9.423841892655357,1.3572476476042548e-14,-1.0000000000000009,2.2370993946196907e-14,-9.891444545411282,-0.9999999999999998,-1.3572476476042531e-14,2.2204460492504704e-16,7.581480415717063,0.0,0.0,0.0,1.0
M_DC11_A01_HORN:1,XC-430_idle:2+M_DC11_A01_HORN_ASM:1+M_DC11_A01_HORN:1,M_DC11_A01_HORN,XC-430_idle_2_M_DC11_A01_HORN_ASM_1_M_DC11_A01_HORN_1.stl,exported,2.3037127760972034e-15,3.635980405647388e-15,39.0700000000005,-1.0000000000000016,4.081924542632698e-16,7.4603727023486e-16,2.3037127760972034e-15,7.423753091389856e-16,2.4702462297909733e-15,0.9999999999999996,3.635980405647388e-15,3.53213218005139e-16,1.0000000000000013,-2.4147350785597155e-15,39.0700000000005,0.0,0.0,0.0,1.0
M_DC11_A01_HORN_ASM:1,XC-430_idle:2+M_DC11_A01_HORN_ASM:1,M_DC11_A01_HORN_ASM,XC-430_idle_2_M_DC11_A01_HORN_ASM_1.stl,exported,-9.423841892655433,-13.341444545411296,8.381480415717016,-1.000000000000001,-2.231548279496565e-14,2.220446049247448e-16,-9.423841892655433,2.2370993946196907e-14,-1.0000000000000009,-1.3572476476042548e-14,-13.341444545411296,2.2204460492504704e-16,-1.3572476476042531e-14,0.9999999999999998,8.381480415717016,0.0,0.0,0.0,1.0
XC-430_idle:2,XC-430_idle:2,XC-430_idle,XC-430_idle_2.stl,exported,-9.4238418926554,-11.791444545411295,8.381480415717038,2.220446049247448e-16,-1.000000000000001,-2.231548279496565e-14,-9.4238418926554,-1.3572476476042548e-14,2.2370993946196907e-14,-1.0000000000000009,-11.791444545411295,0.9999999999999998,2.2204460492504704e-16,-1.3572476476042531e-14,8.381480415717038,0.0,0.0,0.0,1.0
arm_part1_v2:1,arm_part1_v2:1,arm_part1_v2,arm_part1_v2_1.stl,exported,-2.049999999999999,-1.1999999999999942,12.34500000000013,3.971329036758465e-16,1.0000000000000049,-1.0838562496893866e-16,-2.049999999999999,-2.914335439641036e-15,-8.586047056274136e-16,0.9999999999999939,-1.1999999999999942,1.0000000000000204,-3.9742283363161105e-15,-1.1102230246251561e-15,12.34500000000013,0.0,0.0,0.0,1.0
fr12_s102_k:1,fr12_s102_k:1,fr12_s102_k,fr12_s102_k_1.stl,exported,1.2989609388114332e-14,-2.220446049250313e-14,18.120000000000235,1.0000000000000047,-7.510523996960728e-16,-3.9713290367584685e-16,1.2989609388114332e-14,-7.973723656700566e-16,-0.9999999999999964,2.942091015256665e-15,-2.220446049250313e-14,-4.079565012852263e-16,1.1102230246251565e-16,-1.000000000000021,18.120000000000235,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:3+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_3_DUMMY_DC12_1.stl,exported,1.2528172943504501e-14,-2.6201263381153694e-14,20.220000000000287,7.468522217786742e-16,3.97061989487618e-16,1.0000000000000042,1.2528172943504501e-14,0.9999999999999963,-2.914335439641036e-15,-7.911043353477982e-16,-2.6201263381153694e-14,-1.6653345369377348e-16,1.0000000000000215,-4.070142279866187e-16,20.220000000000287,0.0,0.0,0.0,1.0
"XM,H-430_idler:3","XM,H-430_idler:3","XM,H-430_idler",XM_H-430_idler_3.stl,exported,-13.103820454871208,7.593000878278139,29.117571432227674,-1.0000000000000009,-1.6653345369377348e-16,0.0,-13.103820454871208,1.6653345369377348e-16,-1.0000000000000009,0.0,7.593000878278139,0.0,0.0,1.0,29.117571432227674,0.0,0.0,0.0,1.0
fr12_h101_k:1,fr12_h101_k:1,fr12_h101_k,fr12_h101_k_1.stl,exported,-2.4290440231205355e-15,-2.6645352591003757e-14,20.22000000000027,1.0000000000000115,4.0905615420132555e-16,-7.839539852197906e-16,-2.4290440231205355e-15,-7.876637685551405e-16,2.3037127760972e-15,-1.0000000000000162,-2.6645352591003757e-14,-4.0860171896540415e-16,1.0000000000000242,8.326672684688674e-17,20.22000000000027,0.0,0.0,0.0,1.0
arm_hand_v2:2,arm_hand_v2:2,arm_hand_v2,arm_hand_v2_2.stl,exported,-2.050000000000022,-1.200000000000035,23.020000000000355,1.00000000000001,5.599821682149947e-16,4.0905615420132457e-16,-2.050000000000022,-7.876637685551391e-16,1.0000000000000133,2.3314683517128287e-15,-1.200000000000035,-3.351026825541043e-16,-5.551115123125783e-17,1.0000000000000218,23.020000000000355,0.0,0.0,0.0,1.0
DUMMY_DC12:1,"XM,H-430_idler:4+DUMMY_DC12:1",DUMMY_DC12,XM_H-430_idler_4_DUMMY_DC12_1.stl,exported,1.0130785099704553e-15,-1.3322676295501878e-14,25.420000000000414,6.212145081723648e-16,-1.0000000000000127,4.0905615420132526e-16,1.0130785099704553e-15,1.000000000000016,6.125873344378731e-16,2.3314683517128287e-15,-1.3322676295501878e-14,-2.7755575615628914e-17,3.271813665241134e-16,1.0000000000000235,25.420000000000414,0.0,0.0,0.0,1.0
"XM,H-430_idler:4","XM,H-430_idler:4","XM,H-430_idler",XM_H-430_idler_4.stl,exported,-9.910584181476889,18.814904208371946,8.356865023798402,-1.8873791418627638e-15,-0.9999999999999999,9.353628982466944e-15,-9.910584181476889,1.0000000000000002,-1.887379141862761e-15,2.0816681711724264e-16,18.814904208371946,-2.220446049250415e-16,9.270362255620057e-15,1.0,8.356865023798402,0.0,0.0,0.0,1.0
arm_thrustD:1,arm_thrustD:1,arm_thrustD,arm_thrustD_1.stl,exported,0.000999999999986012,0.02499999999996444,27.120000000000445,5.994572514430193e-16,-0.9999999999999999,3.27740769066605e-16,0.000999999999986012,0.9999999999999997,6.125873344378654e-16,2.7755575615628914e-17,0.02499999999996444,-1.8488927466117458e-31,3.2718136652410937e-16,1.0000000000000004,27.120000000000445,0.0,0.0,0.0,1.0
